EVTYPE_Orig;EVTYPE_Class
TORNADO;Tornado
HAIL;Hail
WINTER STORM;Storm
THUNDERSTORM WINDS;Storm gale
HURRICANE OPAL;Hurricane
LIGHTNING;Storm
DENSE FOG;Fog
THUNDERSTORM WINS;Storm
FLASH FLOOD;Flooding
THUNDERSTORM WINDS LIGHTNING;Storm gale
HEAT;Heat wave
WIND;Gale
LIGHTNING AND HEAVY RAIN;Storm
COLD;Cold wave
FLASH FLOODING/THUNDERSTORM WI;Flooding
WATERSPOUT;Storm surge
LIGHTNING/HEAVY RAIN;Heavy precipitation
HIGH WIND;Gale
RIVER FLOOD;Flooding
AVALANCHE;Avalanche
HIGH TIDES;Flooding
HIGH WINDS/HEAVY RAIN;Heavy precipitation
COASTAL FLOOD;Flooding
RECORD RAINFALL;Heavy precipitation
HEAVY SNOW/WIND;Snowstorm
FLOOD;Flooding
SLEET;Snowstorm
ICE STORM;Snowstorm
THUNDERSTORM WINDS/FUNNEL CLOU;Storm gale
FLOODING/HEAVY RAIN;Flooding
HIGH SURF;Storm surge
HIGH;Storm
WINTER STORMS;Storm
RAINSTORM;Storm
SEVERE THUNDERSTORMS;Storm
THUNDERSTORMS WINDS;Storm gale
FLOOD/RAIN/WINDS;Flooding
FLASH FLOOD WINDS;Flooding
FUNNEL CLOUD;Storm
STRONG WIND;Gale
FLASH FLOOD/;Flooding
DRY MIRCOBURST WINDS;Gale
URBAN FLOOD;Flooding
MICROBURST WINDS;Gale
UNSEASONABLY WARM;Heat wave
STRONG WINDS;Gale
WATERSPOUT/TORNADO;Tornado
STORM SURGE;Storm surge
WATERSPOUT-;Storm surge
TROPICAL STORM ALBERTO;Tropical storm
TROPICAL STORM GORDON;Tropical storm
LIGHTNING THUNDERSTORM WINDS;Gale
MINOR FLOODING;Flooding
LIGHTNING INJURY;Storm
FLASH FLOODS;Flooding
WILDFIRE;Fire
THUNDERSTORM WINDS 13;Storm
SNOW;Snowstorm
FROST;Hoar frost
HIGH WINDS/;Gale
FLOODS;Flooding
HEAVY RAIN/SNOW;Heavy precipitation
MUD SLIDE;Avalanche
RURAL FLOOD;Flooding
EXTREME HEAT;Heat wave
COLD AND WET CONDITIONS;Cold wave
SLEET/ICE STORM;Hail
